TradeStatus,StatusDetails,BNPPAnsweredQuote,CoverPrice,RFQCompositePrice,Bid2Mid,Customer,NbDealers,delta,BuySell,z0,z1,z2
TradedAway,None,111.00907298502366,0,110,0.5,2,4,2.0181459700473283,Buy,1.2425379973849184,1.5858585793225943,1.6183248008226907
Done,None,107.62127397763305,0,110,0.5,2,5,-4.7574520447338955,Buy,1.2284239736359142,0.73352036507936214,1.7443296156155623
TradedAway,None,110.72485289807486,0,110,0.5,2,3,1.4497057961497148,Buy,0.56861821623819186,1.0577000707350452,2.3702073559181338
NotTraded,None,110.16063118214863,0,110,0.5,2,4,0.32126236429726873,Buy,0.13989800145541553,2.4727382498612256,1.0696131249207432
Done,None,108.25339176888637,0,110,0.5,2,2,-3.4932164622272524,Buy,0.93587209357041024,0.28672856285762416,1.0368233233993278
TradedAway,None,110.17287540577374,0,110,0.5,1,2,0.34575081154747522,Buy,1.0308640729468483,1.1230136722943482,0.38029526788808865
Done,None,108.32876920093138,0,110,0.5,2,5,-3.3424615981372483,Buy,1.0968768745690372,0.79536324310987361,0.43317663422380304
TradedAway,None,112.82126420640154,0,110,0.5,2,5,5.6425284128030739,Buy,1.8735422943456603,1.1669940143450841,1.7123519296362129
Done,None,108.32470314901408,0,110,0.5,2,3,-3.3505937019718317,Buy,-0.170968169874677,2.9882642518454956,1.5916179907041634
TradedAway,None,111.99124236611505,0,110,0.5,1,5,3.9824847322300911,Buy,0.10177088485221097,2.2591694019213859,1.8715486125247121
TradedAway,None,109.63224174676044,0,110,0.5,1,4,-0.73551650647911515,Buy,0.88525130387001449,-0.031380929137849511,1.6555933446199558
TradedAway,None,109.73881413167709,0,110,0.5,2,4,-0.52237173664582315,Buy,-1.172952963384545,1.4288167621095786,0.20375990539926825
TradedAway,None,108.78775286015095,0,110,0.5,2,4,-2.4244942796981093,Buy,0.4655361728811529,2.0226970316599973,0.43219902999281345
NotTraded,None,112.00424750337375,0,110,0.5,2,2,4.0084950067474949,Buy,-0.23804806468685302,1.2233611175570993,0.086626749114683488
NotTraded,None,110.43457263474954,0,110,0.5,2,2,0.86914526949908577,Buy,2.2360284223982125,0.92456153025109011,0.25204134870991057
Done,None,108.60996536391548,0,110,0.5,1,4,-2.7800692721690439,Buy,2.6166801807290003,0.31279639805231829,1.1578137887969611
NotTraded,None,109.77050733207969,0,110,0.5,2,2,-0.45898533584062307,Buy,0.55187330273815105,-0.966283785958723,1.5450104631879689
Done,None,109.37331966597499,0,110,0.5,1,2,-1.2533606680500213,Buy,2.1600125946544546,0.61801110670258519,0.86158445090703961
NotTraded,None,110.69895977404828,0,110,0.5,2,3,1.3979195480965529,Buy,-1.6563056771462592,2.566414547592097,1.0720821740595252
Done,None,108.61231663710682,0,110,0.5,2,5,-2.7753667257863697,Buy,1.3248900819119687,2.345898441129501,0.30209908064994317
NotTraded,None,109.42805282829654,0,110,0.5,1,4,-1.1438943434069131,Buy,0.98063300768564987,1.4223171005686304,-0.31285982425201997
NotTraded,None,112.09354180141189,0,110,0.5,1,5,4.1870836028237761,Buy,0.16543573449873461,2.1188462378355464,0.78644746193782833
NotTraded,None,112.873536569048,0,110,0.5,1,5,5.747073138095999,Buy,0.36753687927354017,0.63926488988465313,0.17120086914776134
TradedAway,None,109.79199550684616,0,110,0.5,2,5,-0.41600898630767347,Buy,0.37585301998240983,0.19952738493490019,1.4081241347342921
TradedAway,None,110.90253043803418,0,110,0.5,1,5,1.8050608760683531,Buy,1.9140537861734326,1.4331311843795533,0.2901531687850355
NotTraded,None,110.99242505562567,0,110,0.5,2,3,1.9848501112513475,Buy,1.3290573893517761,0.53123043230348466,0.71503200484691787
Done,None,110.00768849968989,0,110,0.5,2,5,0.015376999379782319,Buy,1.3381358662598697,1.1584937257865153,1.0317992704629415
TradedAway,None,109.02551984689453,0,110,0.5,1,2,-1.9489603062109495,Buy,-0.042298111421262385,3.2952312127348256,1.4095247245870028
TradedAway,None,110.2418539207323,0,110,0.5,2,5,0.483707841464593,Buy,1.3253764595984587,1.0509624854403523,2.1528849344377194
TradedAway,None,109.27943984267506,0,110,0.5,2,4,-1.4411203146498792,Buy,0.79007465837534951,0.30948420904592078,1.2730979462318732
Done,None,109.7185895608157,0,110,0.5,2,3,-0.56282087836859773,Buy,1.5958605611221386,2.8298363949846426,0.76987705364415482
Done,None,107.84650667640901,0,110,0.5,1,2,-4.3069866471819864,Buy,1.4090198262493634,1.1560351144812406,0.36908190020071741
TradedAway,None,110.8215615932958,0,110,0.5,2,5,1.6431231865915947,Buy,2.8053225301284836,1.9464859981649121,1.5335758835086262
NotTraded,None,112.1462651500361,0,110,0.5,1,5,4.292530300072201,Buy,0.23566278215981551,1.2763831554393752,-0.19493940000772314
NotTraded,None,111.64122230675936,0,110,0.5,2,4,3.2824446135187202,Buy,0.11412238679676789,-0.0045613529876575853,1.0433985182320633
TradedAway,None,111.14671746695507,0,110,0.5,2,2,2.2934349339101345,Buy,0.040032278598995386,1.4630012917727131,0.4505445761554937
NotTraded,None,111.07382034328909,0,110,0.5,1,2,2.1476406865781712,Buy,1.0530676170420699,1.5200524792645917,0.70758596161620113
Done,None,108.68871897546229,0,110,0.5,2,2,-2.6225620490754125,Buy,2.551689168946857,2.1312807192688892,0.48334091477885077
TradedAway,None,109.90323607901679,0,110,0.5,1,5,-0.19352784196641437,Buy,0.27529938701196655,1.5974866100750935,2.3632839817532298
NotTraded,None,110.24674333496957,0,110,0.5,2,4,0.49348666993913071,Buy,1.018068723199764,2.6185463442535131,-0.38746001646729811
NotTraded,None,110.00161378086391,0,110,0.5,1,2,0.0032275617278116897,Buy,1.2458648698986623,0.91350228423518842,1.5702416052341837
TradedAway,None,108.41672482245862,0,110,0.5,2,4,-3.1665503550827623,Buy,0.82814021602108223,1.5054112837465912,1.3018407732946513
TradedAway,None,109.6540571922375,0,110,0.5,2,2,-0.6918856155249955,Buy,1.8985266047095635,1.1964799111359039,3.2304528171738029
TradedAway,None,111.03615318230553,0,110,0.5,1,4,2.0723063646110518,Buy,1.7629460385026829,0.69347092409452116,1.1415618851098599
NotTraded,None,108.88995756699909,0,110,0.5,1,2,-2.2200848660018266,Buy,0.35378894408104067,0.90876855387704547,-1.0089796630469836
NotTraded,None,109.63967909094248,0,110,0.5,2,2,-0.72064181811504113,Buy,0.81232402519935709,0.91358665384618698,1.1405203621217408
Done,None,108.54462964776296,0,110,0.5,2,5,-2.9107407044740796,Buy,0.83251032514776746,1.7608188690653503,0.99783582156920436
TradedAway,None,109.6628541614127,0,110,0.5,2,3,-0.67429167717460814,Buy,1.0884755574400597,1.6597933752454976,-0.66091032623374857
NotTraded,None,109.23025277570368,0,110,0.5,1,2,-1.5394944485926487,Buy,-0.86591244663937461,1.2902604055494198,1.2787137591095123
TradedAway,None,109.59378474208907,0,110,0.5,2,4,-0.81243051582185899,Buy,1.8643544968478425,1.1638430008636764,0.64115724804058449
Done,None,109.10287722665991,0,110,0.5,1,2,-1.7942455466801732,Buy,2.8967154034480784,0.90361760473098385,1.4942862439369042
NotTraded,None,109.51296310226634,0,110,0.5,1,3,-0.97407379546731931,Buy,0.51981040567030168,0.85573853071817074,0.27382398035922151
Done,None,108.34927273256453,0,110,0.5,1,3,-3.3014545348709419,Buy,1.3082305149029556,1.2668129761832656,0.18650329894808459
TradedAway,None,110.07152032783273,0,110,0.5,1,3,0.14304065566545887,Buy,0.66128858196641005,1.12344931529454,0.64890695695813894
TradedAway,None,110.76035264972604,0,110,0.5,2,5,1.5207052994520893,Buy,1.4034758011477808,2.8806282320037946,0.40075602638383978
Done,None,108.27860464495343,0,110,0.5,1,3,-3.442790710093135,Buy,-0.1212157100573279,1.0721035366358842,-1.6836221349404945
TradedAway,None,110.43859793526624,0,110,0.5,2,2,0.87719587053248915,Buy,-0.37499895697404351,2.5843639690359965,0.73796130804496962
NotTraded,None,108.98690332842661,0,110,0.5,1,3,-2.0261933431467867,Buy,3.0001152265363222,1.7184471336354901,0.70975719529058034
Done,None,107.28157086841892,0,110,0.5,2,3,-5.4368582631621507,Buy,2.3033764258099656,0.57928746261892483,1.0569686618731806
Done,None,110.06363598782843,0,110,0.5,2,2,0.12727197565686765,Buy,0.81953170254350738,0.71573586440049763,2.420074910895635
